r  /  Angstrom,Cd Cd,Cd Se,Cd O,Se Se,Se O,O O
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0
1.85,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.001987020405174952,0.0,0.0,0.0
2.0500000000000003,0.0,0.0,0.030865982596207677,0.0,0.0,0.0
2.1,0.0,0.0,0.2957914423307198,0.0,0.0,0.08518622103145791
2.15,0.0,0.0,1.0614674161873205,0.0,0.0,3.3452522775246014
2.2,0.0,0.0,2.341112785033719,0.0,0.0,14.78044100337037
2.25,0.0,0.0,3.395614239310052,0.0,0.0,11.313713792761039
2.3000000000000003,0.0,0.0,3.879859601075933,0.0,0.0,3.0201835933875283
2.35,0.0,0.010159128152597932,3.787332735886584,0.0,0.0,0.41577798108748865
2.4000000000000004,0.0,0.19994262912265162,2.9067808678110736,0.0,0.0,0.006814214804209701
2.45,0.0,1.0878022235183933,2.1684237445409003,0.0,0.0,0.0
2.5,0.0,2.8537076038468645,1.5069745021449417,0.0,0.0,0.0
2.5500000000000003,0.0,5.103225027278065,0.9922340160758298,0.0,0.0,0.0
2.6,0.0,6.787180403256889,0.6493273533701911,0.0,0.0,0.0
2.6500000000000004,0.0,6.819366393399558,0.37503355819563144,0.0,0.0,0.0
2.7,0.0,5.483620591411269,0.2383695857879724,0.0,0.0,0.0
2.75,0.0,3.7827586597558547,0.17164649220691813,0.0,0.0,0.0
2.8000000000000003,0.0,2.3819615232745606,0.1378839527163061,0.0,0.0,0.0011558606551838179
2.85,0.0,1.4150527685796015,0.1087829331076826,0.0,0.0,0.016641316123644386
2.9000000000000004,0.0,0.7675714225519122,0.0936534949811537,0.0,0.0,0.028051162727088533
2.95,0.0,0.4080922848970287,0.08390631452442054,0.0,0.0,0.0433072793142638
3.0,0.0,0.22975895355801512,0.06847313941460328,0.0,0.0,0.09739075504694332
3.0500000000000003,0.0,0.1253980912336577,0.06325072397197513,0.0,0.000302746747950606,0.14158486514860427
3.1,0.0009635462681883021,0.059711623581986895,0.06180039821315218,0.0,0.002771040354141714,0.21532040443773154
3.1500000000000004,0.0030407632363549193,0.03488170217151271,0.06949432560917669,0.0,0.00485001902788931,0.27805675352945064
3.2,0.0041769175651284705,0.02043382335697467,0.07239891821015593,0.0,0.015688076741040575,0.2941184305806111
3.25,0.00636646233406017,0.018283872879435403,0.06681516285520098,0.0,0.036808208012356465,0.32780812866291936
3.3000000000000003,0.013439167296968878,0.009195131639204277,0.07151292858415995,0.0,0.06660620024578971,0.3705922213168157
3.35,0.014058600408938223,0.004380812764299771,0.06200029219749167,0.0,0.11483593683472938,0.3750673002246399
3.4000000000000004,0.024322255049040446,0.004471320573027621,0.06590959290717366,0.0,0.18410768806098674,0.3777792234638253
3.45,0.0368907739773924,0.002796416550161994,0.0589486582077315,0.0,0.2910745909786735,0.37774108302465625
3.5,0.06336323572181782,0.0016232491037305363,0.060268049856300826,0.0,0.35581132195025805,0.4015184997906248
3.5500000000000003,0.09780890521890238,0.0015764007559070062,0.058094306855572146,0.0,0.5333074360699582,0.42443585961412983
3.6,0.15944568684315186,0.0033008047887433563,0.05397941600662583,0.0022763471710844675,0.7001850878703847,0.44660800225982267
3.6500000000000004,0.25241213026963816,0.002678910611030086,0.05458992483690467,0.0012918520324360645,0.875914652776915,0.5213073268323117
3.7,0.36679081493618837,0.0018693018519203562,0.05573228795822738,0.003385055451302868,1.0506702072326253,0.6061614630050487
3.75,0.5272875185621667,0.0027930124370426812,0.05842123710140371,0.017341998709954218,1.1691643781457721,0.6877161519168696
3.8000000000000003,0.7561274645977083,0.0024458009695088453,0.05980687377217412,0.033773581929858944,1.262042843213945,0.7687784335821156
3.85,0.9615549222965505,0.0026579314689568986,0.06730352823474493,0.06013303222908721,1.3713898250155385,0.7874405456608244
3.9000000000000004,1.233095836470003,0.0030695942675492884,0.07226786459588926,0.10874779266878751,1.4066538025526256,0.8748332518632056
3.95,1.5015638698928608,0.010776474573589004,0.09002908616704323,0.19404337318454243,1.4924000076051867,0.832400666939943
4.0,1.8376754527676165,0.01947886408812666,0.09700558445538825,0.347910485834424,1.4302672981399456,0.8343738256087588
4.05,2.066714358898845,0.03069836878022267,0.12311264415203899,0.6481090853589809,1.3539449602360154,0.7773735401527475
4.1000000000000005,2.251582295289733,0.036233140046863746,0.14342162303098624,1.0017386465652147,1.2737472475438056,0.7719981375255536
4.15,2.330642634763823,0.04992337887661645,0.17158402608052364,1.4659654560243742,1.1946264715880976,0.7451284160553344
4.2,2.2732720376533133,0.07885200789769986,0.23383478591203372,1.904601575070846,1.054706896189196,0.7423537865864857
4.25,2.193125404215386,0.10439676940092413,0.29328021953332845,2.43592114679254,0.9575878379550913,0.695432773269162
4.3,2.004080360460218,0.1483412788862732,0.36874296388521194,2.8086767256310163,0.8205212412588341,0.6693934972469813
4.3500000000000005,1.8214100002442364,0.19759662128972416,0.470331254819564,3.159419339199382,0.6856993276645271,0.686642625751407
4.4,1.6505648234231567,0.2498934166967222,0.6065033573339109,3.32193676532781,0.5580198121361892,0.6203844457266919
4.45,1.4044571303341207,0.29799656839780747,0.6920356435249942,3.2844983516087485,0.4358512077668657,0.598518263692852
4.5,1.1789871234058977,0.36978266234416746,0.7167424651853083,3.2460648327516015,0.3298545675839535,0.621213600971669
4.55,1.061870180748942,0.4673228255630192,0.7047511395478219,3.050740158281894,0.2638472181366915,0.5679039500117531
4.6000000000000005,0.9492241239811533,0.5468737774863005,0.636171198076068,2.630491037574922,0.2142144450356634,0.5940774351083753
4.65,0.8273863253222006,0.6251991613930217,0.5718627048268139,2.210773799515521,0.17361279975796823,0.6213951843064667
4.7,0.6440488788265096,0.7556687767822453,0.5235461847214558,1.8046007953008614,0.13358917114652377,0.6092460402485375
4.75,0.5568724852087615,0.8619425449022667,0.4822141521249752,1.5099209263752578,0.11419149243639269,0.5761567966324147
4.800000000000001,0.4236522125639199,0.9353172613414105,0.45094212510853393,1.077654219497186,0.09458214080153499,0.5531021075932477
4.8500000000000005,0.31708073789928365,1.0392191224985652,0.4498500112848091,0.7790849432346785,0.10162848352843185,0.5429944504079832
4.9,0.2318082714075982,1.1128828148524634,0.4173872317026148,0.45184459315007597,0.1052565232246383,0.5187874410663326
4.95,0.16693946172549917,1.2045944679934821,0.41755364015352964,0.27386668330334046,0.1308616097380141,0.46255423583167515
5.0,0.1214119535880563,1.2664160688850812,0.4177769734668089,0.1372299262843907,0.1285456248541449,0.46599960533787027
5.050000000000001,0.09490407813107724,1.3269308242998517,0.4106951052508036,0.06660451365743439,0.15274854053519796,0.4711170951078166
5.1000000000000005,0.060479125738257485,1.3441030294243612,0.40357479118011,0.024364692331684475,0.17244766700749378,0.4220700875877379
5.15,0.04262409604600774,1.2950048048303395,0.38412780077786474,0.007794144431659813,0.17911287033096102,0.4068928914553726
5.2,0.03247123434799728,1.2275224601556902,0.36021287808946534,0.0027400594438781903,0.21106325194482817,0.41583165077567663
5.25,0.032278317005438754,1.1815308416535206,0.35498863312834245,0.0012186375616634955,0.24028644564205395,0.4263393045692897
5.300000000000001,0.04104803157271645,1.1175899287611937,0.345883353918422,0.0013527633554515472,0.24268928858082392,0.40083904191545966
5.3500000000000005,0.0456223367344249,1.0098487758234167,0.3149658120339414,0.0019093004472497234,0.2594465785833057,0.36576774446410043
5.4,0.05735239103918118,0.9073064729117847,0.3261791364977685,0.0033310883612234824,0.2823685312081896,0.3474597112068846
5.45,0.07688676557389737,0.7760178686055677,0.3208691779026191,0.0066457511301516795,0.3104470009119553,0.3771569834511505
5.5,0.09221252970604535,0.6709875628598247,0.3409232950325668,0.014032414112458008,0.34036939422984624,0.3806279577444329
5.550000000000001,0.10745859175052243,0.5643265023027682,0.37183334513440985,0.007646076641760102,0.3588841846745748,0.3808246519791249
5.6000000000000005,0.13685456753759923,0.4498830587745545,0.39689797599900206,0.01210934908695977,0.3530283495893622,0.395135893996182
5.65,0.17023678682665289,0.35374806143733895,0.42743622418401006,0.023895510511844,0.3505608376634935,0.42640302194826074
5.7,0.19286763369356613,0.2556837233623632,0.45318766791300014,0.04122728043327078,0.32795267066694395,0.4413459871316764
5.75,0.21839073896726371,0.18653277541582292,0.4878600403456321,0.045012248079155666,0.29114927354040276,0.45935167413457245
5.800000000000001,0.24025193225250596,0.13128474098531073,0.5430462364029434,0.07312769999435476,0.26406294862810376,0.47696344681025604
